feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9
1147500000	1021500000	601740000	943790000	685170000	780670000	939300000	1349800000	1166800000
157800000	123660000	132490000	114100000	110180000	174620000	181690000	142110000	230980000
32647000					78569000	60603000	56006000	110480000
227010000	155620000	281650000	110250000			137510000	167320000	176520000
738450000	744140000	406470000	501170000		360690000	399220000	168850000	372120000
	57225000	99163000	154740000				86345000	
3837900000	4311100000	4098800000	6470100000	5376300000	5108800000	5793900000	6368700000	7715500000
856430000	817280000	1036400000	1026100000	1555900000	1756900000	2162700000	2165300000	2331700000
283990000	359820000	229920000	221640000	209620000	251270000	187850000	185690000	90507000
55741000000	57755000000	57427000000	45385000000	39458000000	42893000000	41129000000	46258000000	43744000000
7778600000	7698700000	7529500000	11508000000	9472000000	11058000000	8884200000	10568000000	12130000000
1394900000	1569400000	1542000000	2042700000	1473900000	1658000000	1171300000	1468600000	2047200000
		52421000						36807000
	140250000		1017500000	344290000	308000000	121950000		
38861000000	36977000000	31013000000	20774000000	22580000000	11798000000	13756000000	17027000000	18655000000
3115300000	1279300000	2060500000	1478400000	1957700000	1920800000	1639800000	1909900000	1758800000
161240000	157720000	213950000	387280000	198280000	224710000	456380000	487430000	366660000
527470000	340950000		562670000	1345100000	1679800000	1994900000	3299700000	2699100000
3754500000	3751900000	3946400000	12385000000	10642000000	11911000000	25007000000	31821000000	24944000000
889170000	942240000	777660000	716120000	967940000	875390000	489620000	907260000	603380000
3742100000	4335300000	5107400000	2333700000	268560000	722220000	1846700000	2712000000	2766700000
		5263500						
1.17E+11	1.22E+11	1.14E+11	1.05E+11	93199000000	90441000000	97571000000	1.04E+11	1.07E+11
20936000000	20825000000	20642000000	19003000000	21518000000	21407000000	27295000000	29189000000	31336000000
622340000	957790000	925390000	926740000	1142400000	1189100000	935980000	1365900000	1220900000
982650000	1187100000	1105000000	975280000	1144700000	1174900000	1727500000	2686300000	2389300000
603490000	675950000	1161000000	882570000	555460000	1176300000		259210000	565510000
12579000000	13976000000	11810000000	29417000000	34716000000	36766000000	62866000000	62741000000	61552000000
9325700000	9333600000	9208500000	23320000000	17781000000	19389000000	25612000000	26899000000	25082000000
540730000	319260000	319650000	865970000	881450000	885260000	776600000	299860000	578990000
18425000000	18619000000	15354000000	11992000000	10001000000	12725000000	14910000000	15303000000	16057000000
82737000	65505000	35973000	57665000	51347000	49114000	17495000		
8738400000	8149000000	9614500000	7532000000	7200900000	8162800000	8817200000	10240000000	10375000000
166380000	87902000		137650000	409350000	98208000	140070000	291360000	
27497000000	26287000000	27331000000	23901000000	18819000000	20228000000	21348000000	20809000000	20494000000
20580000000	19124000000	19086000000	18183000000	13860000000	15968000000	11826000000	21896000000	13286000000
36048000000	33532000000	29387000000	34982000000	44902000000	50976000000	40311000000	43634000000	51076000000
1146900000	870250000	1259000000	622080000	447580000	694680000	789980000	1023600000	1178700000
5564600000	5312400000	5766900000	7203900000	7579300000	7175100000	10006000000	9384800000	11463000000
